Display Name,Time,Op Gas Rate,Op Water Rate,Entity Name,API Number
21-06,12/01/1970 12:00:00 AM,0.0,,KENAI UNIT,50133100900000
21-06,01/01/1971 12:00:00 AM,10430.4,,KENAI UNIT,50133100900000
21-06,02/01/1971 12:00:00 AM,9032.5,,KENAI UNIT,50133100900000
21-06,03/01/1971 12:00:00 AM,9541.8,,KENAI UNIT,50133100900000
21-06,04/01/1971 12:00:00 AM,8193.5,,KENAI UNIT,50133100900000
21-06,05/01/1971 12:00:00 AM,8282.5,,KENAI UNIT,50133100900000
21-06,06/01/1971 12:00:00 AM,10761.8,,KENAI UNIT,50133100900000
21-06,07/01/1971 12:00:00 AM,9068.0,,KENAI UNIT,50133100900000
21-06,08/01/1971 12:00:00 AM,7932.5,,KENAI UNIT,50133100900000
21-06,09/01/1971 12:00:00 AM,9663.5,,KENAI UNIT,50133100900000
21-06,10/01/1971 12:00:00 AM,7284.9,,KENAI UNIT,50133100900000
21-06,11/01/1971 12:00:00 AM,7951.3,,KENAI UNIT,50133100900000
21-06,12/01/1971 12:00:00 AM,7272.2,,KENAI UNIT,50133100900000
21-06,01/01/1972 12:00:00 AM,6947.7,,KENAI UNIT,50133100900000
21-06,02/01/1972 12:00:00 AM,6687.9,,KENAI UNIT,50133100900000
21-06,03/01/1972 12:00:00 AM,6681.9,,KENAI UNIT,50133100900000
21-06,04/01/1972 12:00:00 AM,8393.0,,KENAI UNIT,50133100900000
21-06,05/01/1972 12:00:00 AM,7190.9,,KENAI UNIT,50133100900000
21-06,06/01/1972 12:00:00 AM,5390.6,,KENAI UNIT,50133100900000
21-06,07/01/1972 12:00:00 AM,6826.9,,KENAI UNIT,50133100900000
21-06,08/01/1972 12:00:00 AM,7289.5,,KENAI UNIT,50133100900000
21-06,09/01/1972 12:00:00 AM,0.0,,KENAI UNIT,50133100900000
21-06,10/01/1972 12:00:00 AM,7158.9,,KENAI UNIT,50133100900000
21-06,11/01/1972 12:00:00 AM,5845.7,,KENAI UNIT,50133100900000
21-06,12/01/1972 12:00:00 AM,6738.9,,KENAI UNIT,50133100900000
21-06,01/01/1973 12:00:00 AM,6326.1,,KENAI UNIT,50133100900000
21-06,02/01/1973 12:00:00 AM,6210.6,,KENAI UNIT,50133100900000
21-06,03/01/1973 12:00:00 AM,6177.9,,KENAI UNIT,50133100900000
21-06,04/01/1973 12:00:00 AM,6212.1,,KENAI UNIT,50133100900000
21-06,05/01/1973 12:00:00 AM,6177.5,,KENAI UNIT,50133100900000
21-06,06/01/1973 12:00:00 AM,6492.8,,KENAI UNIT,50133100900000
21-06,07/01/1973 12:00:00 AM,6056.9,,KENAI UNIT,50133100900000
21-06,08/01/1973 12:00:00 AM,6337.1,,KENAI UNIT,50133100900000
21-06,09/01/1973 12:00:00 AM,5951.4,,KENAI UNIT,50133100900000
21-06,10/01/1973 12:00:00 AM,6526.2,,KENAI UNIT,50133100900000
21-06,11/01/1973 12:00:00 AM,6338.1,,KENAI UNIT,50133100900000
21-06,12/01/1973 12:00:00 AM,6421.5,,KENAI UNIT,50133100900000
21-06,01/01/1974 12:00:00 AM,6687.8,,KENAI UNIT,50133100900000
21-06,02/01/1974 12:00:00 AM,6540.3,,KENAI UNIT,50133100900000
21-06,03/01/1974 12:00:00 AM,6235.8,,KENAI UNIT,50133100900000
21-06,04/01/1974 12:00:00 AM,7147.4,,KENAI UNIT,50133100900000
21-06,05/01/1974 12:00:00 AM,7233.2,,KENAI UNIT,50133100900000
21-06,06/01/1974 12:00:00 AM,6904.4,,KENAI UNIT,50133100900000
21-06,07/01/1974 12:00:00 AM,5629.2,,KENAI UNIT,50133100900000
21-06,08/01/1974 12:00:00 AM,5873.9,,KENAI UNIT,50133100900000
21-06,09/01/1974 12:00:00 AM,5748.6,,KENAI UNIT,50133100900000
21-06,10/01/1974 12:00:00 AM,5795.3,,KENAI UNIT,50133100900000
21-06,11/01/1974 12:00:00 AM,6130.4,,KENAI UNIT,50133100900000
21-06,12/01/1974 12:00:00 AM,5573.5,,KENAI UNIT,50133100900000
21-06,01/01/1975 12:00:00 AM,0.0,,KENAI UNIT,50133100900000
21-06,02/01/1975 12:00:00 AM,0.0,,KENAI UNIT,50133100900000
21-06,03/01/1975 12:00:00 AM,0.0,,KENAI UNIT,50133100900000
21-06,04/01/1975 12:00:00 AM,0.0,,KENAI UNIT,50133100900000
21-06,05/01/1975 12:00:00 AM,0.0,,KENAI UNIT,50133100900000
21-06,06/01/1975 12:00:00 AM,9674.3,,KENAI UNIT,50133100900000
21-06,07/01/1975 12:00:00 AM,9984.6,,KENAI UNIT,50133100900000
21-06,08/01/1975 12:00:00 AM,9966.1,,KENAI UNIT,50133100900000
21-06,09/01/1975 12:00:00 AM,9644.9,,KENAI UNIT,50133100900000
21-06,10/01/1975 12:00:00 AM,10421.2,,KENAI UNIT,50133100900000
21-06,11/01/1975 12:00:00 AM,9083.3,,KENAI UNIT,50133100900000
21-06,12/01/1975 12:00:00 AM,9231.9,,KENAI UNIT,50133100900000
21-06,01/01/1976 12:00:00 AM,9596.2,,KENAI UNIT,50133100900000
21-06,02/01/1976 12:00:00 AM,9562.2,,KENAI UNIT,50133100900000
21-06,03/01/1976 12:00:00 AM,9016.5,,KENAI UNIT,50133100900000
21-06,04/01/1976 12:00:00 AM,9759.4,,KENAI UNIT,50133100900000
21-06,05/01/1976 12:00:00 AM,10432.5,,KENAI UNIT,50133100900000
21-06,06/01/1976 12:00:00 AM,8712.2,,KENAI UNIT,50133100900000
21-06,07/01/1976 12:00:00 AM,9558.1,,KENAI UNIT,50133100900000
21-06,08/01/1976 12:00:00 AM,8814.1,,KENAI UNIT,50133100900000
21-06,09/01/1976 12:00:00 AM,6737.7,,KENAI UNIT,50133100900000
21-06,10/01/1976 12:00:00 AM,6474.0,,KENAI UNIT,50133100900000
21-06,11/01/1976 12:00:00 AM,7282.2,,KENAI UNIT,50133100900000
21-06,12/01/1976 12:00:00 AM,6711.7,,KENAI UNIT,50133100900000
21-06,01/01/1977 12:00:00 AM,3550.4,,KENAI UNIT,50133100900000
21-06,02/01/1977 12:00:00 AM,5691.8,,KENAI UNIT,50133100900000
21-06,03/01/1977 12:00:00 AM,5767.6,,KENAI UNIT,50133100900000
